Combination,0000000000.png->0000000001.png0000000001.png->0000000002.png0000000002.png->0000000003.png0000000003.png->0000000004.png0000000004.png->0000000005.png0000000005.png->0000000006.png0000000006.png->0000000007.png0000000007.png->0000000008.png0000000008.png->0000000009.png
SHITOMASI + BRISK,Not combinable
SHITOMASI + ORB,Not combinable
SHITOMASI + FREAK,Not combinable
SHITOMASI + AKAZE,Not combinable
SHITOMASI + SIFT,1370,1301,1361,1358,1333,1284,1322,1366,1389,1339,
HARRIS + BRISK,Not combinable
HARRIS + ORB,Not combinable
HARRIS + FREAK,Not combinable
HARRIS + AKAZE,Not combinable
HARRIS + SIFT,349,294,362,370,535,2913,203,836,585,1555,
FAST + BRISK,Not combinable
FAST + ORB,Not combinable
FAST + FREAK,Not combinable
FAST + AKAZE,Not combinable
FAST + SIFT,5063,4952,4863,4840,4856,4899,4870,4868,4996,4997,
BRISK + BRISK,Not combinable
BRISK + ORB,Not combinable
BRISK + FREAK,Not combinable
BRISK + AKAZE,Not combinable
BRISK + SIFT,2757,2777,2741,2735,2757,2695,2715,2628,2639,2672,
ORB + BRISK,Not combinable
ORB + ORB,Not combinable
ORB + FREAK,Not combinable
ORB + AKAZE,Not combinable
ORB + SIFT,500,500,500,500,500,500,500,500,500,500,
AKAZE + BRISK,Not combinable
AKAZE + ORB,Not combinable
AKAZE + FREAK,Not combinable
AKAZE + AKAZE,Not combinable
AKAZE + SIFT,1351,1327,1311,1351,1360,1347,1363,1331,1357,1331,
SIFT + BRISK,Not combinable
SIFT + ORB,Not combinable
SIFT + FREAK,Not combinable
SIFT + AKAZE,Not combinable
SIFT + SIFT,1437,1371,1381,1336,1303,1370,1396,1382,1462,1422,
