Combination,0000000000.png->0000000001.png0000000001.png->0000000002.png0000000002.png->0000000003.png0000000003.png->0000000004.png0000000004.png->0000000005.png0000000005.png->0000000006.png0000000006.png->0000000007.png0000000007.png->0000000008.png0000000008.png->0000000009.png
SHITOMASI + BRISK,Not combinable
SHITOMASI + ORB,Not combinable
SHITOMASI + FREAK,Not combinable
SHITOMASI + AKAZE,Not combinable
SHITOMASI + SIFT,125,118,123,120,120,113,114,123,111,112,
HARRIS + BRISK,Not combinable
HARRIS + ORB,Not combinable
HARRIS + FREAK,Not combinable
HARRIS + AKAZE,Not combinable
HARRIS + SIFT,51,43,66,60,86,347,38,137,99,203,
FAST + BRISK,Not combinable
FAST + ORB,Not combinable
FAST + FREAK,Not combinable
FAST + AKAZE,Not combinable
FAST + SIFT,419,427,404,423,386,414,418,406,396,401,
BRISK + BRISK,Not combinable
BRISK + ORB,Not combinable
BRISK + FREAK,Not combinable
BRISK + AKAZE,Not combinable
BRISK + SIFT,264,282,282,277,297,279,289,272,266,254,
ORB + BRISK,Not combinable
ORB + ORB,Not combinable
ORB + FREAK,Not combinable
ORB + AKAZE,Not combinable
ORB + SIFT,92,102,106,113,109,125,130,129,127,128,
AKAZE + BRISK,Not combinable
AKAZE + ORB,Not combinable
AKAZE + FREAK,Not combinable
AKAZE + AKAZE,Not combinable
AKAZE + SIFT,166,157,161,155,163,164,173,175,177,179,
SIFT + BRISK,Not combinable
SIFT + ORB,Not combinable
SIFT + FREAK,Not combinable
SIFT + AKAZE,Not combinable
SIFT + SIFT,138,132,124,138,134,140,137,148,159,137,
